Tiempo,     x,      u(x)
0.9, 0.857143, 10.7294
0.9, 0.877551, 9.40476
0.9, 0.897959, 7.98983
0.9, 0.918367, 6.49499
0.9, 0.938776, 4.933
0.9, 0.959184, 3.31866
0.9, 0.979592, 1.66845
0.9, 1, 0
1, 0, 0
1, 0.0204082, 1.6263
1, 0.0408163, 3.23571
1, 0.0612245, 4.81187
1, 0.0816327, 6.33943
1, 0.102041, 7.80453
1, 0.122449, 9.19512
1, 0.142857, 10.5013
1, 0.163265, 11.7154
1, 0.183673, 12.8322
1, 0.204082, 13.8488
1, 0.22449, 14.7645
1, 0.244898, 15.5806
1, 0.265306, 16.3002
1, 0.285714, 16.9278
1, 0.306122, 17.4689
1, 0.326531, 17.9299
1, 0.346939, 18.3175
1, 0.367347, 18.6386
1, 0.387755, 18.8997
1, 0.408163, 19.107
1, 0.428571, 19.2659
1, 0.44898, 19.3809
1, 0.469388, 19.4556
1, 0.489796, 19.4923
1, 0.510204, 19.4923
1, 0.530612, 19.4556
1, 0.55102, 19.3809
1, 0.571429, 19.2659
1, 0.591837, 19.107
1, 0.612245, 18.8997
1, 0.632653, 18.6386
1, 0.653061, 18.3175
1, 0.673469, 17.9299
1, 0.693878, 17.4689
1, 0.714286, 16.9278
1, 0.734694, 16.3002
1, 0.755102, 15.5806
1, 0.77551, 14.7645
1, 0.795918, 13.8488
1, 0.816327, 12.8322
1, 0.836735, 11.7154
1, 0.857143, 10.5013
1, 0.877551, 9.19512
1, 0.897959, 7.80453
1, 0.918367, 6.33943
1, 0.938776, 4.81187
1, 0.959184, 3.23571
1, 0.979592, 1.6263
1, 1, 0
